"id","name","unit_weight","energy_per_100g","carbs_per_100g","protein_per_100g","fat_per_100g"
"1","MARGARINE SPREAD, WITHOUT SALT (SAPUAN MERJERIN TANPA GARAM)","16.488","519","0.14","0.6","58.34"
"2","CHEESE SPREAD (KEJU SAPUAN)","15","295","3.5","7","29"
"3","MARGARINE SPREAD, WITH SALT (SAPUAN MERJERIN BERGARAM)","13.796","621",NULL,"0.29","70"
"4","CHOCOLATE, WHITE (COKLAT PUTIH)","5.81094","539","59","6","32"
"5","RICE, ARAB (NASI ARAB)","200","222","40.78","5.2","4.27"
"6","CAKE, CUP, WITH FROSTING/GLAZE (KEK CAWAN)","48.36","370","67.8","2.85","10.96"
"7","YOGURT, DRINKING, PASTEURISED, NATURAL FLAVOUR","250","61","4.7","3.5","3.3"
"8","KOLEH KACANG","49","175.52","24.27","4.65","6.65"
"9","SAUCE, OYSTER FLAVOURED","11.37","51","11","1.4","0.3"
"10","DESSERT, HONEYCOMB CAKE (KEK GULA HANGUS)","88.16","250","42","5.1","7.1"
"11","TRADITIONAL MALAYSIAN KUIH, SWEET FERMENTED TAPIOCA (TAPAI UBI KAYU)","272.26","246","59.96","0.85","0.31"
"12","OIL, BLEND (MINYAK CAMPURAN)","2.794","896.14","0.46","0","99.37"
"13","COFFEE, WITH MILK AND SUGAR, FROM MAMAK STALLS","200","207","51.54","0.17","0.02"
"14","COOKIES/CRACKERS, SANDWICH WITH FLAVOURED CREAM OREO","9.65","468","69.86","5.79","18.43"
"15","OIL, VEGETABLE (MINYAK SAYURAN)","3.308","897.68","0.08","0","99.71"
"16","POMEGRANATE (DELIMA)","174.693","80","14.4","1.53","0.8"
"17","OIL, COCONUT (MINYAK KELAPA)","3.899","897.33","0.09","0.08","99.63"
"18","CAKE, CHEESE (KEK KEJU)","129.63","321","26","6","23"
"19","TRADITIONAL MALAYSIAN KUIH, SESAME BALLS (KUIH BOM)","33.48","335","51.21","6.54","11.59"
"20","RICE, BRIYANI (DAGING)","271.62","195","37.07","7.85","8.07"
"21","PASTRY, PUFF, CHOCOLATE FILLING","31.08","531.25","56.25","6.25","35"
"22","TRADITIONAL MALAYSIAN KUIH, SWEET GLUTINOUS RICE CAKE (WAJIK)","20","290","56","3","5"
"23","CEREAL, BREAKFAST, OAT/MULTIGRAIN","100","370","65","12","6"
"24","BISCUIT, MILK (BISKUT SUSU)","29","473","58.25","8.83","21.42"
"25","SUGAR, ICING (GULA ISING)","14.568","389","100",NULL,NULL
"26","SOFT MARGARINE (MARJERIN LEMBUT)","18.606","720",NULL,NULL,"80"
"27","CAROB FLOUR (TEPUNG KACANG KUDA)","3","311.01","52.73","21.11","1.74"
"28","DESEERT, COCONUT MILK JELLY (AGAR-AGAR SANTAN)","38.09","120","15","1","6"
"29","RICE, BRIYANI (AYAM)","404.76","159","24.36","3.24","5.36"
"30","FRUIT JUICE ORANGE","240","33.47","5.1","0.64","1.17"
"31","JAM, BLACKCURRENT (JEM ANGGUR HITAM)","28.538","266","65.99","0.27","0.02"
"32","CEREAL, BREAKFAST, GRANOLA","45","451","62.58","9.44","18.15"
"33","CHEESE, CHEDDAR, REDUCED FAT (KEJU CHEDDAR, KURANG LEMAK)","68.99","200","3","30","8"
"34","DESSERT, BROWNIES, CHOCOLATE","20.68","380","50","5","18"
"35","MILK, COW, FRESH","200","61","4.8","3.2","3.3"
"36","DESSERT, MOON CAKES RED BEAN","180","260","50","6","6"
"37","MUFFIN, CHOCOLATE","60.93","441","58.92","7.5","19.45"
"38","BISCUIT, MARIE","5.13","446","65.07","8.46","16.89"
"39","CHICKEN, SAUSAGE (SOSEJ DAGING AYAM)","3.227","193","9.95","11.68","10.47"
"40","CAKE, SWISS ROLL (KEK SWISS ROLL)","28.63","310","50","5","12"
"41","YOGURT, FLAVOURED (STRAWBERRY, ETC)","120","120","18","4","3"
"42","FISH OIL, COD LIVER OIL (MINYAK IKAN KOD)","10.719","900",NULL,NULL,"100"
"43","CANNED COFFEE","200","40","9","1",NULL
"44","BISCUIT, LEMON PUFF","30","455","63.51","7.87","18.8"
"45","PASTRY, PUFF, APPLE FILLING","84.34","392","52.15","5.46","17.99"
"46","CREAM CHEESE (KRIM KEJU)","25.989","350","4","6","34"
"47","DESSERT, COCONUT MILK BASED, SWEET POTATOES AND TARO IN COCONUT MILK (BUBUR CHA CHA)","334.33","219","39.54","2.52","5.61"
"48","BUN, POTATO (BAN KENTANG)","36.267","303","46.27","9.15","8.98"
"49","TRADITIONAL MALAYSIAN KUIH, MINI EGG SPONGE CAKE (BAHULU CERMAI)","7.47","417","82.55","8.89","5.68"
"50","STRAWBERRY FLAVOURED CANDY (GULA-GULA PERISA STRAWBERI)","3.74","400","95",NULL,NULL
"51","DESSERT, FRUIT CAKE (KEK BUAH)","25.3","250","50","4","5"
"52","CEREAL, BREAKFAST, MULTICOLOURED, SUGAR-FILLED RING SHAPED","30","400","80","4","5"
"53","PINEAPPLE FLAVOURED CANDY (GULA-GULA PERISA NANAS)","4.073","390","95",NULL,NULL
"54","CAKAR AYAM","37.5","423.03","66.4","1","17.05"
